#
# Valid combinations of
#   quantity,unit
# Extracted from Energistics UoM database
#
force per area,inHg(32F)
force per area,inHg(60F)
force per area,kN/m2
force per area,kPa
force per area,kgf/cm2
force per area,kgf/mm2
force per area,kpsi
force per area,lbf/100ft2
force per area,lbf/ft2
force per area,lbf/ft2(100)
force per area,lbf/in2
force per area,mPa
force per area,mbar
force per area,mmHg(0C)
force per area,pPa
force per area,psf
force per area,psi
force per area,psia
force per area,psig
force per area,tonfUS/ft2
force per area,tonfUS/in2
force per area,torr
force per area,uPa
force per area,ubar
force per area,umHg(0C)
force per area,upsi
force per force,%
force per force,Euc
force per force,kgf/kgf
force per force,lbf/lbf
force per force,pu
force per length,N/30m
force per length,N/m
force per length,dyne/cm
force per length,kN/m
force per length,kgf/cm
force per length,lbf/100ft
force per length,lbf/30m
force per length,lbf/ft
force per length,lbf/in
force per length,mN/km
force per length,mN/m
force per length,pdl/cm
force per length,tonfUK/ft
force per length,tonfUS/ft
force per volume,GPa/cm
force per volume,MPa/m
force per volume,N/m3
force per volume,Pa/m
force per volume,atm/ft
force per volume,atm/hm
force per volume,atm/m
force per volume,bar/km
force per volume,bar/m
force per volume,kPa/100m
force per volume,kPa/m
force per volume,lbf/ft3
force per volume,lbf/galUS
force per volume,psi/100ft
force per volume,psi/ft
force per volume,psi/ft(100)
force per volume,psi/kft
force per volume,psi/m
force,MN
force,Mgf
force,N
force,daN
force,dyne
force,gf
force,kN
force,kdyne
force,kgf
force,klbf
force,lbf
force,mN
force,ozf
force,pdl
force,tonfUK
force,tonfUS
force,uN
frequency interval,O
frequency,1/s
frequency,GHz
frequency,Hz
frequency,MHz
frequency,c/s
frequency,kHz
frequency,mHz
frequency,uHz
gamma ray API unit,gAPI
heat capacity,J/K
heat flow rate,Btu(million)/hr
heat flow rate,Btu/hr
heat flow rate,Btu/min
heat flow rate,Btu/s
heat flow rate,EJ/a
heat flow rate,GW
heat flow rate,MBtu/hr
heat flow rate,MW
heat flow rate,TJ/a
heat flow rate,TW
heat flow rate,W
heat flow rate,erg/a
heat flow rate,ft.lbf/min
heat flow rate,ft.lbf/s
heat flow rate,kW
heat flow rate,mW
heat flow rate,nW
heat flow rate,quad/yr
heat flow rate,uW
heat transfer coefficient,Btu/hr.ft2.degF
heat transfer coefficient,Btu/hr.ft2.degR
heat transfer coefficient,Btu/hr.m2.degC
heat transfer coefficient,Btu/s.ft2.degF
heat transfer coefficient,J/s.m2.degC
heat transfer coefficient,W/m2.K
heat transfer coefficient,cal/h.cm2.degC
heat transfer coefficient,cal/s.cm2.degC
heat transfer coefficient,kJ/h.m2.K
heat transfer coefficient,kW/m2.K
heat transfer coefficient,kcal/h.m2.degC
height,chBnA
height,chBnB
height,chCla
height,chSe
height,chUS
height,cm
height,dm
height,fm
height,ft
height,in
height,in/10
height,in/16
height,in/32
height,in/64
height,km
height,m
height,mi
height,mil
height,nm
height,pm
height,um
height,yd
illuminance,footcandle
illuminance,klx
illuminance,lx
impedance,Gohm
impedance,Mohm
impedance,Tohm
impedance,kohm
impedance,mohm
impedance,nohm
impedance,ohm
impedance,uohm
impulse,kg.m/s
impulse,lbm.ft/s
interval transit time,s/m
irradiance,Btu/hr.ft2
irradiance,Btu/s.ft2
irradiance,W/cm2
irradiance,W/m2
irradiance,W/mm2
irradiance,cal/h.cm2
irradiance,hhp/in2
irradiance,hp/in2
irradiance,kW/cm2
irradiance,kW/m2
irradiance,mW/m2
irradiance,ucal/s.cm2
isothermal compressibility,dm3/MJ
isothermal compressibility,dm3/kW.h
isothermal compressibility,m3/J
isothermal compressibility,m3/kW.h
isothermal compressibility,mm3/J
isothermal compressibility,ptUK/hp.hr
kinematic viscosity,cSt
kinematic viscosity,cm2/s
kinematic viscosity,ft2/h
kinematic viscosity,ft2/s
kinematic viscosity,in2/s
kinematic viscosity,m2/h
kinematic viscosity,m2/s
kinematic viscosity,mm2/s
length of path,cm
length of path,dm
length of path,fm
length of path,ft
length of path,in
length of path,km
length of path,m
length of path,mi
length of path,mil
length of path,nm
length of path,pm
length of path,um
length of path,yd
length per length,%
length per length,Euc
length per length,ft/100ft
length per length,ft/ft
length per length,ft/in
length per length,ft/m
length per length,ft/mi
length per length,km/cm
length per length,m/30m
length per length,m/cm
length per length,m/km
length per length,m/m
length per length,mi/in
length per length,pu
length per temperature,ft/degF
length per temperature,m/K
length per volume,1/m2
length per volume,ft/bbl
length per volume,ft/ft3
length per volume,ft/galUS
length per volume,km/L
length per volume,km/dm3
length per volume,m/m3
length per volume,mi/galUK
length per volume,mi/galUS
length,Mm
length,angstrom
length,chBnA
length,chBnB
length,chCla
length,chSe
length,chUS
length,cm
length,dm
length,fathom
length,fm
length,ft
length,ftBnA
length,ftBnB
length,ftBr(65)
length,ftCla
length,ftGC
length,ftInd
length,ftInd(37)
length,ftInd(62)
length,ftInd(75)
length,ftMA
length,ftSe
length,ftUS
length,in
length,in/10
length,in/16
length,in/32
length,in/64
length,inUS
length,km
length,lkBnA
length,lkBnB
length,lkCla
length,lkSe
length,lkUS
length,m
length,mGer
length,mi
length,miUS
length,mil
length,mm
length,nautmi
length,nm
length,pm
length,um
length,yd
length,ydBnA
length,ydBnB
length,ydCla
length,ydIm
length,ydInd
length,ydInd(37)
length,ydInd(62)
length,ydInd(75)
length,ydSe
level of power intensity,B
level of power intensity,dB
light exposure,footcandle.s
light exposure,lx.s
linear concentration,Euc
linear concentration,ft/100ft
linear concentration,ft/ft
linear concentration,ft/m
linear concentration,ft/mi
linear concentration,m/30m
linear concentration,m/km
linear concentration,m/m
linear density,Mg/in
linear density,kg/m
linear density,klbm/in
linear density,lbm/ft
linear electric current density,A/m
linear electric current density,A/mm
linear electric current density,Oe
linear electric current density,gamma
linear mass,kg/m
linear strain,%
linear strain,Euc
linear strain,ft/100ft
linear strain,ft/ft
linear strain,ft/m
linear strain,ft/mi
linear strain,m/30m
linear strain,m/km
linear strain,m/m
linear strain,pu
linear thermal expansion,1/K
linear thermal expansion,in/in.degF
linear thermal expansion,m/m.K
linear thermal expansion,mm/mm.K
luminance,cd/m2
luminous efficacy,lm/W
luminous exitance,lm/m2
luminous exitance,lx
luminous flux,lm
luminous intensity,cd
luminous intensity,kcd
magnetic dipole moment,Wb.m
magnetic field strength,A/m
magnetic field strength,A/mm
magnetic field strength,Oe
magnetic field strength,gamma
magnetic flux density,T
magnetic flux density,gauss
magnetic flux density,mT
magnetic flux density,mgauss
magnetic flux density,nT
magnetic flux density,uT
magnetic flux,Wb
magnetic flux,mWb
magnetic flux,uWb
magnetic induction,T
magnetic induction,gauss
magnetic induction,mT
magnetic induction,mgauss
magnetic induction,nT
magnetic induction,uT
magnetic permeability,H/m
magnetic permeability,uH/m
magnetic potential difference,A
magnetic potential difference,MA
magnetic potential difference,kA
magnetic potential difference,mA
magnetic potential difference,nA
magnetic potential difference,pA
magnetic potential difference,uA
magnetic vector potential,Wb/m
magnetic vector potential,Wb/mm
magnetization,A/m
magnetization,A/mm
magnetization,Oe
magnetization,gamma
magnetomotive force,A
magnetomotive force,MA
magnetomotive force,kA
magnetomotive force,mA
magnetomotive force,nA
magnetomotive force,pA
magnetomotive force,uA
mass attenuation coefficient,cm2/g
mass attenuation coefficient,m2/g
mass attenuation coefficient,m2/kg
mass concentration,%
mass concentration,Euc
mass concentration,g/kg
mass concentration,kg/kg
mass concentration,kg/sack94
mass concentration,mg/kg
mass concentration,permil
mass concentration,ppdk
mass concentration,ppk
mass concentration,ppm
mass concentration,pu
mass concentration,wtpercent
mass concentration,wtppm
mass density,10Mg/m3
mass density,Mg/m3
mass density,dAPI
mass density,g/L
mass density,g/cm3
mass density,g/dm3
mass density,g/galUK
mass density,g/galUS
mass density,g/m3
mass density,grain/100ft3
mass density,grain/ft3
mass density,grain/ft3(100)
mass density,grain/galUS
mass density,kg/L
mass density,kg/dm3
mass density,kg/m3
mass density,lbm/1000galUK
mass density,lbm/1000galUS
mass density,lbm/10bbl
mass density,lbm/Mbbl
mass density,lbm/bbl
mass density,lbm/ft3
mass density,lbm/galUK
mass density,lbm/galUK(1000)
mass density,lbm/galUS
mass density,lbm/galUS(1000)
mass density,lbm/in3
mass density,mg/L
mass density,mg/dm3
mass density,mg/galUS
mass density,mg/m3
mass density,ug/cm3
mass flow rate,Mg/a
mass flow rate,Mg/d
mass flow rate,Mg/h
mass flow rate,Mlbm/yr
mass flow rate,g/s
mass flow rate,kg/d
mass flow rate,kg/h
mass flow rate,kg/min
mass flow rate,kg/s
mass flow rate,lbm(million)/yr
mass flow rate,lbm/d
mass flow rate,lbm/h
mass flow rate,lbm/min
mass flow rate,lbm/s
mass flow rate,t/a
mass flow rate,t/d
mass flow rate,t/h
mass flow rate,t/min
mass flow rate,tonUK/a
mass flow rate,tonUK/d
mass flow rate,tonUK/h
mass flow rate,tonUK/min
mass flow rate,tonUS/a
mass flow rate,tonUS/d
mass flow rate,tonUS/h
mass flow rate,tonUS/min
mass length,ft.lbm
mass length,kg.m
mass per energy,kg/J
mass per energy,kg/MJ
mass per energy,kg/kW.h
mass per energy,lbm/hp.h
mass per energy,mg/J
mass per length,Mg/in
mass per length,kg.m/cm2
mass per length,kg/m
mass per length,klbm/in
mass per length,lbm/ft
mass per time per area,MPa.s/m
mass per time per area,g.ft/cm3.s
mass per time per area,kPa.s/m
mass per time per area,kg/m2.s
mass per time per area,lbm/h.ft2
mass per time per area,lbm/s.ft2
mass per time per length,Pa.s
mass per time per length,kg/m.s
mass per time per length,lbm/ft.h
mass per time per length,lbm/ft.s
mass per time per length,lbm/h.ft
mass per time per length,lbm/s.ft
mass per volume per length,g/cm4
mass per volume per length,kg/dm4
mass per volume per length,kg/m4
mass per volume per length,lbm/ft4
mass per volume per length,lbm/galUK.ft
mass per volume per length,lbm/galUS.ft
mass,Mg
mass,ag
mass,ct
mass,cwtUK
mass,cwtUS
mass,g
mass,grain
mass,kg
mass,klbm
mass,lbm
mass,mg
mass,oz(av)
mass,oz(troy)
mass,ozm
mass,sack94
mass,t
mass,tonUK
mass,tonUS
mass,ug
massic heat capacity,Btu/lbm.degF
massic heat capacity,Btu/lbm.degR
massic heat capacity,J/g.K
massic heat capacity,J/kg.K
massic heat capacity,cal/g.K
massic heat capacity,kJ/kg.K
massic heat capacity,kW.h/kg.degC
massic heat capacity,kcal/kg.degC
massic volume,L/100kg
massic volume,L/kg
massic volume,L/t
massic volume,L/tonUK
massic volume,bbl/tonUK
massic volume,bbl/tonUS
massic volume,cm3/g
massic volume,dm3/kg
massic volume,dm3/t
massic volume,ft3/kg
massic volume,ft3/lbm
massic volume,ft3/sack94
massic volume,gal/sack
massic volume,galUK/lbm
massic volume,galUS/lbm
massic volume,galUS/sack94
massic volume,galUS/tonUK
massic volume,galUS/tonUS
massic volume,m3/g
massic volume,m3/kg
massic volume,m3/t
massic volume,m3/tonUK
massic volume,m3/tonUS
mean free path,cm
mean free path,dm
mean free path,fm
mean free path,ft
mean free path,in
mean free path,km
mean free path,m
mean free path,mil
mean free path,nm
mean free path,pm
mean free path,um
mobility,m2/Pa.s
mobility,mD.ft2/lbf.s
mobility,mD.in2/lbf.s
mobility,mD/Pa.s
mobility,mD/cP
modulus of compression,Btu/bbl
modulus of compression,Btu/ft3
modulus of compression,Btu/galUK
modulus of compression,Btu/galUS
modulus of compression,J/dm3
modulus of compression,J/m3
modulus of compression,MJ/m3
modulus of compression,MW.h/m3
modulus of compression,cal/cm3
modulus of compression,cal/mL
modulus of compression,cal/mm3
modulus of compression,erg/cm3
modulus of compression,erg/m3
modulus of compression,ft.lbf/bbl
modulus of compression,ft.lbf/galUS
modulus of compression,hp.hr/bbl
modulus of compression,kJ/dm3
modulus of compression,kJ/m3
modulus of compression,kW.h/dm3
modulus of compression,kW.h/m3
modulus of compression,kcal/cm3
modulus of compression,kcal/m3
modulus of compression,lbf.ft/bbl
modulus of compression,therm/ft3
modulus of compression,therm/galUK
modulus of compression,tonfUS.mi/bbl
modulus of elasticity,Btu/bbl
modulus of elasticity,Btu/ft3
modulus of elasticity,Btu/galUK
modulus of elasticity,Btu/galUS
modulus of elasticity,J/dm3
modulus of elasticity,J/m3
modulus of elasticity,MJ/m3
modulus of elasticity,MW.h/m3
modulus of elasticity,cal/cm3
modulus of elasticity,cal/mL
modulus of elasticity,cal/mm3
modulus of elasticity,erg/cm3
modulus of elasticity,erg/m3
modulus of elasticity,ft.lbf/bbl
modulus of elasticity,ft.lbf/galUS
modulus of elasticity,hp.hr/bbl
